1820 ; isol ; A A   ;      ; default ;      ; 3  # MONGOLIAN LETTER A
1820 ; isol ; A     ;      ;         ;      ; 1  # MONGOLIAN LETTER A
1820 ; isol ; Á     ;      ; alt     ; post ; 2  # MONGOLIAN LETTER A
1820 ; init ; A A   ;      ; default ;      ; 2  # MONGOLIAN LETTER A
1820 ; init ; A     ;      ; alt     ;      ; 1  # MONGOLIAN LETTER A
1820 ; medi ; A     ;      ; default ;      ;    # MONGOLIAN LETTER A
1820 ; medi ; A A   ;      ;         ;      ; 1  # MONGOLIAN LETTER A
1820 ; fina ; A     ;      ; default ;      ; 2  # MONGOLIAN LETTER A
1820 ; fina ; Á     ;      ; alt     ;      ; 1  # MONGOLIAN LETTER A
1821 ; isol ; A     ;      ; default ;      ; 2  # MONGOLIAN LETTER E
1821 ; isol ; Á     ;      ; alt     ; post ; 1  # MONGOLIAN LETTER E
1821 ; init ; A     ;      ; default ;      ;    # MONGOLIAN LETTER E
1821 ; init ; A A   ;      ;         ;      ; 1  # MONGOLIAN LETTER E
1821 ; medi ; A     ;      ; default ;      ;    # MONGOLIAN LETTER E
1821 ; fina ; A     ;      ; default ;      ; 2  # MONGOLIAN LETTER E
1821 ; fina ; Á     ;      ; alt     ;      ; 1  # MONGOLIAN LETTER E
1822 ; isol ; A I   ;      ; default ;      ; 3  # MONGOLIAN LETTER I
1822 ; isol ; I     ;      ; alt     ;      ; 1  # MONGOLIAN LETTER I
1822 ; isol ; İ     ;      ;         ;      ; 2  # MONGOLIAN LETTER I
1822 ; init ; A I   ;      ; default ;      ; 2  # MONGOLIAN LETTER I
1822 ; init ; I     ;      ; alt     ;      ; 1  # MONGOLIAN LETTER I
1822 ; medi ; I     ;      ; default ;      ; 3  # MONGOLIAN LETTER I
1822 ; medi ; A I   ;      ;         ;      ; 1  # MONGOLIAN LETTER I
1822 ; medi ; I I   ;      ; alt     ;      ; 2  # MONGOLIAN LETTER I
1822 ; fina ; I     ;      ; default ;      ;    # MONGOLIAN LETTER I
1823 ; isol ; A O   ;      ; default ;      ;    # MONGOLIAN LETTER O
1823 ; init ; A U   ;      ; default ;      ;    # MONGOLIAN LETTER O
1823 ; medi ; U     ;      ; default ;      ;    # MONGOLIAN LETTER O
1823 ; medi ; A U   ;      ;         ;      ; 1  # MONGOLIAN LETTER O
1823 ; fina ; U     ;      ; default ;      ; 2  # MONGOLIAN LETTER O
1823 ; fina ; O     ;      ; alt     ;      ; 1  # MONGOLIAN LETTER O
1824 ; isol ; A O   ;      ; default ;      ; 3  # MONGOLIAN LETTER U
1824 ; isol ; U     ;      ; alt     ;      ; 1  # MONGOLIAN LETTER U
1824 ; isol ; U̇     ;      ;         ;      ; 2  # MONGOLIAN LETTER U
1824 ; init ; A U   ;      ; default ;      ; 2  # MONGOLIAN LETTER U
1824 ; init ; U     ;      ; alt     ;      ; 1  # MONGOLIAN LETTER U
1824 ; medi ; U     ;      ; default ;      ;    # MONGOLIAN LETTER U
1824 ; medi ; A U   ;      ;         ;      ; 1  # MONGOLIAN LETTER U
1824 ; fina ; U     ;      ; default ;      ; 2  # MONGOLIAN LETTER U
1824 ; fina ; O     ;      ; alt     ;      ; 1  # MONGOLIAN LETTER U
1825 ; isol ; A Ü   ;      ; default ;      ;    # MONGOLIAN LETTER OE
1825 ; isol ; A U   ;      ;         ;      ; 1  # MONGOLIAN LETTER OE
1825 ; init ; A U I ;      ; default ;      ;    # MONGOLIAN LETTER OE
1825 ; medi ; U     ;      ; default ;      ; 3  # MONGOLIAN LETTER OE
1825 ; medi ; U I   ;      ; alt     ;      ; 1  # MONGOLIAN LETTER OE
1825 ; medi ; A U I ;      ;         ;      ; 2  # MONGOLIAN LETTER OE
1825 ; fina ; U     ;      ; default ;      ; 3  # MONGOLIAN LETTER OE
1825 ; fina ; Ü     ;      ; alt     ;      ; 1  # MONGOLIAN LETTER OE
1825 ; fina ; O     ;      ; alt     ;      ; 2  # MONGOLIAN LETTER OE
1826 ; isol ; A Ü   ;      ; default ;      ;    # MONGOLIAN LETTER UE
1826 ; isol ; A U   ;      ;         ;      ; 1  # MONGOLIAN LETTER UE
1826 ; isol ; U     ;      ; alt     ;      ; 2  # MONGOLIAN LETTER UE
1826 ; isol ; U̇     ;      ;         ;      ; 3  # MONGOLIAN LETTER UE
1826 ; init ; A U I ;      ; default ;      ; 2  # MONGOLIAN LETTER UE
1826 ; init ; U     ;      ; alt     ;      ; 1  # MONGOLIAN LETTER UE
1826 ; medi ; U     ;      ; default ;      ; 3  # MONGOLIAN LETTER UE
1826 ; medi ; U I   ;      ; alt     ;      ; 1  # MONGOLIAN LETTER UE
1826 ; medi ; A U I ;      ;         ;      ; 2  # MONGOLIAN LETTER UE
1826 ; fina ; U     ;      ; default ;      ; 3  # MONGOLIAN LETTER UE
1826 ; fina ; Ü     ;      ; alt     ;      ; 1  # MONGOLIAN LETTER UE
1826 ; fina ; O     ;      ; alt     ;      ; 2  # MONGOLIAN LETTER UE
1827 ; isol ; A W   ;      ; default ;      ;    # MONGOLIAN LETTER EE
1827 ; init ; A W   ;      ; default ;      ;    # MONGOLIAN LETTER EE
1827 ; medi ; W     ;      ; default ;      ;    # MONGOLIAN LETTER EE
1827 ; fina ; W     ;      ; default ;      ;    # MONGOLIAN LETTER EE
1828 ; isol ; N     ; init ; default ;      ;    # MONGOLIAN LETTER NA
1828 ; isol ; A     ; init ;         ;      ; 1  # MONGOLIAN LETTER NA
